city,date,fare,ride_id
Lake Jonathanshire,1/14/19 10:14,13.83,5740000000000
South Michelleport,3/4/19 18:24,30.24,2340000000000
Port Samanthamouth,2/24/19 4:29,33.44,2010000000000
Rodneyfort,2/10/19 23:22,23.44,5150000000000
South Jack,3/6/19 4:28,34.58,3910000000000
South Latoya,3/11/19 12:26,9.52,2000000000000
New Paulville,2/27/19 11:17,43.25,793000000000
Simpsonburgh,4/26/19 0:43,35.98,112000000000
South Karenland,1/8/19 3:28,35.09,8000000000000
North Jasmine,3/9/19 6:26,42.81,5330000000000
New Kimberlyborough,2/7/19 1:10,9.34,7990000000000
West Angela,1/12/19 1:45,26.86,4820000000000
Rodneyfort,3/2/19 18:03,44.26,2490000000000
West Angela,1/10/19 12:17,12.74,2110000000000
Roberthaven,5/4/19 14:48,25.66,1030000000000
North Jason,3/28/19 22:28,9.19,7010000000000
Williamsview,1/3/19 16:19,18.93,1980000000000
Leahton,2/26/19 18:42,8.85,6970000000000
West Anthony,3/6/19 2:27,10.02,9400000000000
New Kimberlyborough,4/25/19 22:58,29.67,4820000000000
Roberthaven,2/24/19 10:26,7.8,2180000000000
New Paulton,5/1/19 3:12,8.28,8530000000000
West Patrickchester,3/19/19 5:46,40.86,899000000000
Deanville,4/25/19 3:29,41.52,6060000000000
West Josephberg,2/19/19 16:22,36.39,3320000000000
West Samuelburgh,5/3/19 14:33,41.12,7330000000000
West Heidi,3/14/19 23:46,24.4,4910000000000
Loganberg,4/1/19 1:06,8.23,679000000000
Huntermouth,2/10/19 23:32,25.79,1880000000000
South Latoya,1/11/19 18:44,27.41,8660000000000
New Paulville,3/18/19 22:54,25.05,5030000000000
Grahamburgh,1/15/19 11:44,40.69,307000000000
Port Frank,2/2/19 14:14,41.47,6750000000000
East Kaylahaven,2/28/19 4:13,25.96,3660000000000
Rodneyfort,2/3/19 0:48,44.86,2330000000000
South Karenland,2/12/19 6:52,36.01,4020000000000
West Robert,2/15/19 4:21,12.28,1440000000000
North Markport,2/18/19 8:17,38.09,925000000000
Williamsview,3/12/19 6:47,8.35,1940000000000
Richardfort,2/24/19 8:40,13.93,5630000000000
New Kimberlyborough,3/14/19 16:47,27.9,6750000000000
Reynoldsfurt,3/25/19 14:33,34.06,6600000000000
South Karenland,5/8/19 2:31,41.33,5690000000000
Rodneyfort,4/25/19 20:57,21.7,8530000000000
Justinberg,4/23/19 8:59,14.65,9880000000000
West Josephberg,3/5/19 3:27,12.91,103000000000
South Karenland,3/3/19 14:48,37.3,4100000000000
Leahton,5/5/19 10:34,17.05,5850000000000
Martinezhaven,3/19/19 15:31,5.3,264000000000
North Jason,3/3/19 2:13,28.02,2670000000000
Jerryton,3/3/19 17:50,28.08,6000000000000
Lake Scottton,2/18/19 9:22,25.02,3910000000000
South Evanton,2/14/19 5:55,42.5,9950000000000
Rogerston,5/8/19 1:54,32.69,1640000000000
West Samuelburgh,5/2/19 13:55,38.77,2930000000000
West Ericstad,4/24/19 3:20,7.31,4290000000000
New Paulville,3/10/19 10:45,4.43,1210000000000
Hurleymouth,5/4/19 21:50,21.44,4040000000000
West Samuelburgh,3/3/19 3:17,25.17,1780000000000
Joneschester,3/1/19 18:48,34.71,3340000000000
New Paulville,4/3/19 7:51,32.7,9560000000000
Simpsonburgh,1/19/19 23:06,15.83,233000000000
Port Angela,4/17/19 6:23,16.34,7120000000000
West Ericstad,4/4/19 13:03,28.52,6430000000000
New Kimberlyborough,3/16/19 1:38,17.19,2770000000000
Joneschester,1/30/19 17:41,36.78,1660000000000
North Markport,4/26/19 4:45,44.37,1630000000000
Hurleymouth,3/22/19 11:19,32.85,8450000000000
Barajasview,1/15/19 2:59,19.52,8270000000000
Grahamburgh,4/6/19 13:48,23.87,1470000000000
South Michelleport,3/2/19 9:54,33.12,814000000000
Loganberg,1/7/19 19:02,16.26,9050000000000
West Christopherberg,3/18/19 17:14,12.64,1060000000000
Rogerston,2/23/19 19:13,14.04,7650000000000
Huntermouth,2/24/19 7:57,39.12,928000000000
